subject	message
"distributed-extraction-framework and distributed extraction in general"	"uHello, If I understand well the distributed-extraction-framework is meant to run the extraction in Spark. However it does not directly depend on extraction-framework and the code is a bit old (the last commit is August last year). Is it something planned for the future? (i.e. running the extraction in a distributed manner). If yes, when roughly distributed-extraction-framework will be updated with the newest code from upstream? Thanks a lot!! Regards,"
"DBpedia: limit of triples"	"uOn 9. Aug. 2011, at 12:26, Jörn Hees wrote: sorry, just noticed that .ntriples seems to be an exception here (gave the link for better readability) in contrast to the default xml-rdf: n3 and json also show the problem: Jörn uHi, see the \"Limitations on browseable data\" section on That section pretty much covers your 2nd remark, the one afterwards your 1st one. But yes, i also consider DBpedia buggy in this sense (hence the crossposting): I guess that many newcomers won't even notice that they might not have gotten any sensible triples at all. It seems that internally the URI dereferencing results are capped at a 2001 triples max. At the same time the incoming (/ reverse) links are given first, then the outgoing links. For example, if you dereference I also guess it would be better to construct the given document first from the outgoing triples, maybe preferring the ontology mapped triples, and then incoming links up to a 2000 triples limit (if necessary to limit bandwidth). That would fit the description in the above mentioned section way better than the current implementation. Best regards, Jörn On 8. Aug. 2011, at 17:15, Basil Ell wrote: uJust a small note. I think you mean that the SPARQL engine behind a particular deployment of DBpedia is behaving differently from what you would desire. Although there are bugs in DBpedia, this is not one of them. :) I think it is important to make this distinction between DBpedia and the SPARQL endpoints serving its contents exactly to point out that you could provide your own implementation/wrapper that sorts/limits results the way you want. With more deployments, everybody benefits from the collaboration and the competition. On the one hand maybe the traffic will be more evenly spread, and on the other hand one improvement by a player may push other players to keep pace. I would be curious to hear about advantages provided by one endpoint over another, for example. Has anybody done that? Cheers Pablo On Aug 9, 2011 12:30 PM, \"Jörn Hees\" < > wrote: >&#39;yes, i also consider DBpedia buggy in this sense (hence the crossposting)&#39; Just a small note. I think you mean that the SPARQL engine behind a particular deployment of DBpedia is behaving differently from what you would desire. Although there are bugs in DBpedia, this is not one of them. :) I think it is important to make this distinction between DBpedia and the SPARQL endpoints serving its contents exactly to point out that you could provide your own implementation/wrapper that sorts/limits results the way you want. With more deployments, everybody benefits from the collaboration and the competition. On the one hand maybe the traffic will be more evenly spread, and on the other hand one improvement by a player may push other players to keep pace. I would be curious to hear about advantages provided by one endpoint over another, for example. Has anybody done that? Cheers Pablo On Aug 9, 2011 12:30 PM, 'Jörn Hees' < > wrote: uOn 9. Aug. 2011, at 13:15, Pablo Mendes wrote: Yes, this was imprecise. I was not talking about the SPARQL endpoint (which in fact is able to return more than 2001 triples per subject). I was talking about the standard thing that many people do with a http URI: dereference it. I agree that other / local SPARQL endpoints are useful for mass queries and to take load of the DBpedia servers, but i don't see how they help in my case, as dereferencing still goes to the server(s) at dbpedia.org. Cheers, Jörn uHi The [SPARQL] ResultSetMaxRows = 2000 MaxQueryExecutionTime = 120 MaxQueryCostEstimationTime = 1500 These are in place to make sure that everyone has a equal chance to de-reference data from dbpedia.org, as well as to guard against badly written queries/robots. The following options are at your disposal to get round these limitations: 1. Use the LIMIT and OFFSET keywords You can tell a SPARQL query to return a partial result set and how many records to skip e.g.: select ?s where { ?s a ?o } LIMIT 1000 OFFSET 2000 2. Setup a dbpedia database in your own network The dbpedia project provides full datasets, so you can setup your own installation on a sufficiently powerful box using Virtuoso Open Source Edition. 3. Setup a preconfigured installation of Virtuoso + database using Amazon EC2 (not free) See: Best Regards Hugh Williams Professional Services OpenLink Software Web: Support: Forums: Twitter: On 9 Aug 2011, at 13:04, Jörn Hees wrote: uURI: dereference it. Oh, sure, my bad. Made a leap there because of my assumption that the triples are being generated by a SPARQL DESCRIBE. But anyways, I'm happy to hear that linked data is already the standard thing to do with a URI. :) Not too long ago it was just a longer and weirder ID as compared to auto-increment PKs. But even for dbpedia.org/resource, my suggestion of multiple deployments may apply. One could think of load balancing between a few key providers. I'd be excited to see that happening and to observe its implications. Cheers, Pablo On Tue, Aug 9, 2011 at 2:04 PM, Jörn Hees < > wrote:"
"'2007-01-01T00:00:00+01:00' is not a valid value for datatype XMLSchema#gYear"	"uHi all, try this simple query against the DBpedia SPARQL endpoint: SELECT * WHERE { ?y } You will get: \"2007-01-01T00:00:00-04:00\"^^ However, as you can check here ( xsd:gYear data-type. It should be just 2007. Similarly, if you check this RDF data ( This causes RDF reasoners to raise an error. Curiously, if you go to the HTML version of the same resource ( data-type between parentheses: 2007-01-01 00:00:00 (xsd:date). Is it possible to correct this error before the new DBpedia release? If you want, I can post the issue again on the DBpedia-developers mailing list. Cheers, roberto uI've noticed there's also an open ticket for such issue: cheers, roberto Il 31/05/2012 11:35, Roberto Mirizzi ha scritto: uHi Roberto, thanks for the report. These problems should be fixed. You can always check what the latest code does with the DBpedia extraction server: For example, this page contains the triple \"2007\"^^ . Cheers, JC On Thu, May 31, 2012 at 11:35 AM, Roberto Mirizzi < > wrote:"
"procedural suggestions for mapping wiki"	"uHi everyone! Being a newcomer to the dbpedia mapping wiki, I'm discovering the power of the idea. But one thing I'm missing from other wikis, is DISCUSSION about editorial decisions. Notably on wikidata: - there's a lot of discussion before a property is introduced, e.g. see - there's a lot of rich metadta, including discussion but also validation rules etc: Eg see DNB identifier: Having such discussions on this mailing list is suboptimal, to say the least. So I have the following procedural suggestion: - make a project - for every bug or suggestion, use the appropriate property's Discussion page to decide what to do, and to document it. E.g. for gender: I also miss some editorial templates that would be very useful for these discussions, e.g.: {{support}}, {{oppose}}, {{question}}, {{comment}}, {{ping}} (But {{comment}} is taken for rdfs:comment) Note: I've only been on wikidata for a week but already found them very useful. I'm sure that others with more editorial experience can suggest more (or perhaps a whole package that can be \"imported\"). Cheers! Vladimir uOn Mon, Dec 22, 2014 at 6:23 PM, Vladimir Alexiev < > wrote: Hi Vladimir, This is exactly what we plan to do :) We plan to port the DBpedia ontology in WebProtege and track ontology issues/changes on github. The German chapter is working on this and we'll announce it when it's ready. The mappings wiki will be used only for defining template mappings, the ontology in the wiki will be in read mode and a bot will keep it in sync with WebProtege. The problem here is that the Wikidata community is much bigger than the DBpedia mapping community and most of then have a \"Wikipedia editor\" background while our's probably does not. We welcome all suggestions but we also need someone to lead this effort. If you are up to this task you have a go from me and I am sure from many others. We can facilitate this by giving you, or any other who wants to join additional permissions if needed. Cheers, Dimitris uVladimir> So I have the following procedural suggestion: Dimitris> This is exactly what we plan to do :) Ok. Let's track the ontology & mapping issues in the same project on github. Could you please make that project (e.g. I don't know the second thing about MediaWiki. I've only been using it a year (ashamed to admit it). But we can collaborate even without such goodies. As soon as you make the tracking project, I'll write a simple procedure on the front page. Cheers! and thanks for your efforts!!"
"DBPedia freshness"	"uCan someone let me know which Wikipedia data dump file it is that is the input to DBPedia? On the Wikipedia SQL-Dump\". Is it this one we talk about? Or is it another file that is being used as input into the DBPedia system? Also, I see that the latest dump of DBPedia is 8 months old (from October 2008). Is there anything preventing DBPedia to create a fresher dump from the data at I'm curious to know if the reason the data is not fresh is an issue with that someone actually has to manually download the Wikipedia data and run the scripts (and it has just not been done yet), or if the issue is technical somehow and that it has failed with newer data? Thanks /Omid uHi Omid, there are several Wikipedia dump files we are importing in order to extract the data for DBpedia (see the importwiki.php in the DBpedia SVN). It is true that DBpedia is quite out of date at the moment. There has been a lack of Wikipedia dumps during winter and spring, but Wikipedia recently started to publish dumps much more frequently. We are currently in the process of preparing DBpedia 3.3, based on a late May dump of the English Wikipedia (and dumps of other languages around that time). I can only roughly estimate when DBpedia 3.3 will be available, but keep an eye on the DBpedia mailinglist around end of next week Cheers, Georgi uThanks Georgi, I have also noted that Wikipedia significantly has increased the frequency with which they are releasing their dumps. I remember there was a period from October 2008 to early this year when no new dumps were completed for 5-6 months time. The question is, how much manual work and how long processing time is there for DBPedia to release a new dump once a new Wikipedia dump is released. Assume that Wikipedia would start releasing complete data dumps on a daily basis, would DBPedia theorietically be able to release dumps also on a daily basis? Or is the processing itself require for example one week of processing making impossible to have DBPedia daily fresh even if Wikipedia would have their data dumps daily fresh. Basically I try to figure out what the minimum delay would be from a new Wikipedia dump is released to that a new DBPedia is released is with the current DBPedia scripts. Also, if the process currently involves many manual steps (to download Wikipedia dump, process the data etc.), is it something that could very easily be automated so that keeping DBPedia fresh would not involve any human intervention? Thanks /Omid On Thu, Jun 18, 2009 at 12:20 PM, Georgi Kobilarov< > wrote: uOh, I thought the Wikimedia Foundation would have offered DBpedia a free live feed by now. On Thu, Jun 18, 2009 at 1:20 PM, Georgi Kobilarov < >wrote: uHi Omid, it is true (as Brian wrote) that the Wikimedia Foundation has offered us their Wikipedia live feed. And we are in the process of developing and deploying a real-time update version of DBpedia. Jens also wrote about that recently on the mailing list. The reason that we need some time for preparing DBpedia 3.3 is that there have been a bunch of changes to the DBpedia extraction framework, some experiments with the code base, and we simply need to get things together again. Usually, it takes around 1 day to process a whole Wikipedia dump, including importing it into MySql and running the extraction. But due to the bunch of code changes, we were facing some bugs and extraction errors. Nothing to worry about, but it requires time to get up to speed again. And since DBpedia still is kind of a spare time project for all participants among our other research projects, we don't always find the time to work on it. In the long-term, DBpedia will probably only rely on the Wikipedia update feed instead of the Wikipedia dump files. There will be daily or weekly diffs, monthly full dumps and hopefully a DBpedia live feed as well. I hope that sounds reasonable. If not, please let us now. Cheers, Georgi uIt is great that DBPedia will get access to a live feed and can generate the data dumps much more frequently to keep it fresh. Daily or weekly freshness sounds reasonable to me. Is this feed something DBPedia specific you will get access to or is it something everyone can access? Is this feed the same thing as these IRC feeds? On Thu, Jun 18, 2009 at 2:47 PM, Georgi Kobilarov< > wrote: uwe are using a password protected Wikipedia feed, which serves all changed articles with their full markup text in real-time. The difference to the freely available IRC channel is, that the IRC channel only serves the URIs of changed articles, but not their text. So one would have to get the article text from Wikipedia via this API: And Wikipedia does block IPs which hammer too much on that API. And the live feed also includes a nice protocol and mediawiki plugin support for setting up a local up-to-date mirror of Wikipedia. Cheers, Georgi offered things as"
"Multilingual labels in dbpedia"	"uHi all I have two questions regarding multilingual labels in dbpedia. First question is political, sort of : the choice of language tags. I understand it is based on the list of wikipedias ordered by number of articles. This is an arbitrary but defendable choice in dbpedia framework. But in this case, why does Chinese (zh) appear but not Russian (respectively n°12 and n°11 at Another choice to consider would be the number of speakers, as defined either at which provides a quite different order indeed! No conclusion at the moment. Just to mention it \"en passant\" :-) Second question is more technical. All labels with non-ASCII characters seem to suffer some encoding issues. In the html rendering all such labels end with a \" character, for example some labels for * Frans (nl) * Franska (sv) * Französische Sprache\" (de) * Français\" (fr) Using SPARQL query what I get for the latter label is as following Fran\u00E7ais\\" (in the html answer) FranÃ§ais' (in the xml answer) Given that all Wikipedi pages are correctly encoded in UTF-8, if I judge by what I got in my extraction for lingvoj.org there is a bug somewhere in the label processing from dbpedia side. Bernard"
"ordering of multiple values for an object in Virtuoso"	"uHi Tim, Some properties may be multi-valued, like founders of a company. And the ordering of these founders are significant, so my question is if Virtuoso can remember values' insert order and keep their query output in the same order as insertion. E.g., The following three N-triples are inserted one by one (A is the most significant founder, C is the least significant founder). \"A\" \"B\" \"C\" Now, I want to query the graph to know who are the founders of company1. I expect the output would be A, B and C (in the same order as they were inserted). By default, I knew the store don't care values' order. Do you know how to make it happen by some other means? Object create timestamp is a possible solution I can come up with right now.But how to get this info in Virtuoso? Thank you in advance. Any tips on that would be greatly appreciated!"
"opencyc link accuracy"	"uhi dbpedia, i've been really excited with the opencyc links, and am very impressed with what must be a very difficult reconciliation project. The newer links though maybe, are less accurate? has the algorithm changed since the summer? I did a manual check of a (admittedly small) sample and found a 10% error rate- http://dbpedia.org/page/Coil http://dbpedia.org/page/Charge-coupled_device I'd like to get involved in this project, would it be helpful if I made a larger list of found (or suspected) errors? I'm not clear on how manually-editable either dbpedia or opencyc is. cheers ;) uSpencer Kelly wrote:"
"I18N Redirects / was: AW: DBpedia 3.7 released, including 15 localized Editions"	"uCongratulations to the internationalized release. It offers exciting opportunities for linking to third language vocabularies. For this purpose redirect files (such as redirects_en.nt) are extremly useful, since they offer lots of possible synonym names for lookup. However, neither on the download web page nor in the download server directory, I found such redirect files for e.g., German. Do you consider providing such files? Cheers, Joachim"
"How i can extract"	"uHi, I would like to know how I can extract the data on Wikipedia FR which correspond at this infobox : Because each time that I try to operate the tool of extraction, it doesnât work. Thanks in advance. Julien."
"Writing parser rules for Generic Extractor"	"uHello, I'd like to improve the parser for the company infoboxes. In particular, the extraction for dbpedia-owl:keyPerson on the BMW article is flakey - I'd like to change to parser to ignore anything between tags which should improve accuracy. If I interpret the .xls correctly, then key_people is derived from Organisation and the parsing rule for organisation is used. I assume I have to change rules.xsl to specify a new class for keyPerson and then add code for my new rule somewhere in extractors/infobox/. Can someone give me a an example or some documentation how I would go about this? Or have I missed anything in the existing documentation? Regards, Michael Haas uHi Michael, the mapping.xls is for mapping infoboxes to ontology classes and infobox properties to ontology properties. The rules.xls keeps track of exceptions to the definitions in the mapping.xls. Both files are documented in the SVN ontology/docs files. If you make any changes to the xls files you need to rerun the database import scripts in the SVN ontology directory. As defined in the mapping file (.xls) keyPerson on Organisation has the range Person. If you want to change the MappingBasedExtractor (former Generic Extractor) to ignore tags, you might want to use the Util class and its functions. For the keyPerson case find the corresponding code for object properties in the MappingBasedExtractor ( \"switch($property_type) {\" ) and define own replacements. The Util class offers a function called removeHtmlTags which might be useful. Hope this helps, Anja Michael Haas schrieb: uHello, Michael Haas schrieb: A small note in addition to what Anja said: We are currently working on a DBpedia live infobox extractor, which will use a different mechanism than the current mapping based extractor. However, we will take your changes into account if possible. Kind regards, Jens uJens Lehmann wrote: Thanks for letting me know. Are you going to use the OAI harvester which requires a password? I'm currently using the DBPedia framework to extract the Company Infoboxes using the LiveWikipedia collection. What new approach are you going to be using? I assume it'll be different from just feeding a LiveWikipedia collection into the MappingBasedExtractor. As you can see, I'm slightly confused here as most of my information comes from Georgi Kobilarov's blog. I seem to remember him saying there will be a new interface to specify mappings for the current extractor. Where is DBpedia going these days? Going through the SVN commit logs is not exactly helpful for an outsider as many commits simply do not have a commit message. Regards, Michael uHello, Michael Haas schrieb: [] Yes. Yes, it will be different. We will let you know more once our ideas (and their implementation) are somewhat stable. :) Yes, but very recently we switched to the idea of maintaining the mappings directly within Wikipedia and found a way to (probably) achieve this. So Wikipedia itself will be the interface through which mappings can be specified. I agree that more log messages would definitely be a good thing and I just send a reminder to the developers currently using the DBpedia SVN. Kind regards, Jens"
"Dbpedia from Protege"	"uHello How can I use Dbpedia resources and properties using my protege ontology? I can run dbpedia queries using Virtuoso but do not know how can I use it using Protege. I could not found even a tutorial discussing things like this so if some one can provide a link to tutorial, I would be grateful. Regards Hello How can I use Dbpedia resources and properties using my protege ontology? I can run dbpedia queries using Virtuoso but do not know how can I use it using Protege. I could not found even a tutorial discussing things like this so if some one can provide a link to tutorial, I would be grateful.Â Regards uYou can import the DbPedia ontology in Protege (cf own ontology upon it. And/or you can query the DbPedia endpoint for data, using CONSTRUCT queries. And import the RDF query results in Protege. I have hacked a visual tool to interact with SPARQL endpoints. Cf (note: you can export the query results as RDF with this tool, and then import them in Protege). EnvoyÃ© de mon iPad Le 22 mars 2016 Ã  20:43, kumar rohit < > a Ã©crit :"
"Old DBpedia dumps and names across versions"	"uHi, my name is Dario Garcia and within the context of my PhD research in AI I'm analyzing how pagelinks evolve in DBpedia. When trying to download the oldest versions found a couple of issues. The information given for the three oldest versions available of DBpedia is: DBpedia 3.1 Triples: 68.5M; Filesize(download): 454.4MB; Filesize(unpacked): 8.9GB DBpedia 3.0 Triples: 59.9M; Filesize(download): 394.8MB; Filesize(unpacked): 7.8GB DBpedia 3.0RC Triples: 69M; Filesize(download): 401MB; Filesize(unpacked): 9GB The first issue is with the oldest DBpedia, 2.0. The link to the pagelink file does not work and so I wonder if the file still exists, and if so from where can it be downloaded. The second issue is with the number of triplets. Howcome an older version (3.0RC) has more triplets than latter versions (3.0 and 3.1)? What changed in the middle? One last question, regarding all versions. Are names preserved throughout all version? Are there pages which name changes with time so that they are called differently in two different DBpedia dumps? I guess that may have happened in Wikipedia, and wondered if you were aware of it. That's all. Thank you for your time. Dario. uOn 30 April 2014 20:26, Dario Garcia Gasulla < > wrote: Probably here: pagelinks.tar 02-Apr-2009 20:32 368M I don't know. Names of Wikipedia pages sometimes change. When that happens, the IRI of the corresponding DBpedia resource also changes. That's a bummer. Since release 3.5 (April 2010), there's a workaround: DBpedia now also extracts the Wikipedia page ID [1], which does not change when a page is renamed. RDF triples for the page IDs are published in the \"page_ids\" files. To find out which DBpedia resource names have changed from one version to the next, you could write scripts that analyze these files: look for lines that have the same page ID in both files but different URIs. Maybe someone has already done that, I don't know. Could be done with a few lines in bash. Regards, JC [1]"
"sameAs links in DBpedia 3.7 dump"	"uHi there, What happened to the interlanguage-links file of DBpedia3.7 dump ? There is a \" interlanguage_links_en.n3.bz2 \" file that contains only links to 'el' and 'de' chapters. I am running a local image of DBpedia en with 3.7 dump and need to add sameAs links. I tried with DBpedia 3.8 interlanguage links file but the encoding seems to be different, at least for the parenthesis. for DBpedia 3.7 for DBpedia 3.8 Is that the only change in encoding ? Cheers, Julien p { margin: 0; } Hi there, What happened to the interlanguage-links file of DBpedia3.7 dump ? There is a \" interlanguage_links_en.n3.bz2 \" file that contains only links to 'el' and 'de' chapters. I am running a local image of DBpedia en with 3.7 dump and need to add sameAs links. I tried with DBpedia 3.8 interlanguage links file but the encoding seems to be different, at least for the parenthesis. < Julien uHi Julien, On 01/21/2013 02:47 PM, Julien Cojan wrote: You can find more information about the encoding differences between DBpedia 3.7 and DBpedia 3.8 here [1] [1] URIencoding uThanks Mohamed, Julien"
"Distance in DBpedia"	"uHi everyone, i trying to find a way to calculate the distance between two resurces withing dbpedia. I thought i could make a sareis of joins in sparql like this SELECT ?1 ?2 ?3 WHERE { { ?p1 ?1.} UNION {?1 ?p2 .} {?1 ?p3 ?2.} UNION {?2 ?p4 ?1.} {?3 ?p5 ?2.} UNION {?2 ?p6 ?3.} { ?p7 ?3.} UNION {?3 ?p8 .} } until i found at least one way between the resources, but as i thought this kind of approach is really too heavy to compute and starting from 3 steps or more it will result in a timeout from the server executing the sparql query. So i was reading this article: Discovering Unknown Connections â the DBpedia Relationship Finder where are described two algorithms: the first one is a clustering one witch divides the whole rdf triples in clusters of conncted sub-graphs and assigns a distance value from a single random resource to all the others. The other one does more or less what i'm trying to do, calculating the ways that connect two nodes (also calculating the minimum distance and the maximum distance as absolute value of the difference and the sum of the relative distances to the central resource), but there's this instruction: \"formulate SQL query for obtaining at most (n ô m) connections between O1 and O2 of length d without objects and properties in the ignore list;\" so it is similar to my original ideai really would have liked to see how it is implemented in an efficent way, so i downloaded the code but i was unable to run it bacause of a db problem (it requies a statement table and i donno where it cames from) and still can't find where this implementation is within the sourcecode. By the way, have someone tried to solve this problem? are there any kind of suggestion? I thought another possiblity could be the sequent: starting form the clsuterized rdf triples in the article, construct two trees with the 2 resoruces we want to find the distance as roots. Then each son is a connected resource with a distance from the central resource fo the cluster wich is less than root's distance from the center. At the n-th level (where n is the distance from the central resource of the root resource) we will have the central resource for sure. Then for each resource in the first tree we search for it in the second one. Then we save every matching reasource in a list with the sum of the distances from the roots in the two trees. Once every resource is checked, the resurce in the list with the smaller value is the resource that minimizes the distance between the two nodes. The worst situation is that there are no common resources in the trees other than the central resource. Maybe this works but it's a bit elaborate and probably hard to computemaybe there's a simplier way. Any suggestion? Thankyou, Piero Molino Hi everyone, i trying to find a way to calculate the distance between two resurces withing dbpedia. I thought i could make a sareis of joins in sparql like this SELECT ?1 ?2 ?3 WHERE { {< Molino uOk no one has a solution for my problem ^_^ I hope that Jens will answer this time becuase he is one of the authors of the article i cited in the previous message, so he knows best. I managed to find the functions i need in the relfinder sourcecode (they were in the index.php) and i realized how the database query are done, and as i thought they were practically a series of joins. By the way i can't get things working because o the statements table: can someone who tried this come tell me how to construct it? May i use the dbpedia csv dumps and import them in a mysql table like this: ( `subject` varchar(255) collate latin1_general_ci NOT NULL, `predicate` varchar(255) collate latin1_general_ci NOT NULL, `object` varchar(255) collate latin1_general_ci NOT NULL, `id` int(10) unsigned NOT NULL, PRIMARY KEY (`id`) ) ? (this is the code of the CopyTable from the relfinder sourcecode) I hope someone will answer this time :( Thanks anyway, Piero Molino uHello, Piero Molino wrote: At the time we wrote the Relationship Finder, the statements table was easy to create. You just had to download the csv file of the DBpedia release and load it into your database. Now things have changed a bit since then. You have to perform slight modifications of the extraction code. I prepared a csv file for you here: In a next step, you have to load the data into your DB, which can be done using e.g. this PHP script on the command line: $connection = mysql_connect('localhost',$user,$pass,true); mysql_select_db('dbpedia_relfinder', $connection) or die(mysql_error()); mysql_query(\"DROP TABLE IF EXISTS statements\") or die(mysql_error()); mysql_query(\"CREATE TABLE `statements` ( `id` int(10) unsigned NOT NULL auto_increment, `subject` varchar(255) collate latin1_general_ci NOT NULL default '', `predicate` varchar(255) collate latin1_general_ci NOT NULL default '', `object` text collate latin1_general_ci, `object_is` char(1) collate latin1_general_ci NOT NULL default '', PRIMARY KEY (`id`), KEY `s_sub_pred_idx` (`subject`(200)), KEY `s_pred_idx` (`predicate`(200)), KEY `s_obj_idx` (`object`(250)) ) ENGINE=MyISAM DEFAULT CHARSET=latin1 COLLATE=latin1_general_ci;\" ) or die(mysql_error()); mysql_query(\"LOAD DATA LOCAL INFILE 'infobox.csv' IGNORE INTO TABLE statements\") or die(mysql_error()); ? The second step is computing the components of the RDF graph. To do this, you have to execute cluster_main.php on the commandline. This can take hours or even days depending on your machine. Regarding the queries, you are right that they are basically joins. We can very easily detect whether two resources are in the same component of the graph and - as you read in the paper - we can also efficiently give a minimum and maximum value for the distance between two resources. The hard part is to detect the exact distance. Using MySQL, we found that joins performs quite reasonable if the distance is below 8 (if I remember correctly). In the meantime I have also seen other (relatively recent) approaches to compute the distance between resources, which are particularly targeted at large graphs. However, I do not have a handy literature reference available. Currently, we are thinking about reviving the DBpedia Relationship Finder and are looking at ways to provide this tool without the involved maintenance overhead of keeping it up-to-date. This means that we will probably use SPARQL queries against Virtuoso. This approach works well for distances up to 3/4. (You can try SPARQL queries against the official DBpedia endpoint to test this.) Kind regards, Jens uHello, Piero Molino wrote: This looks like it should work, but performing UNION and JOINS efficiently is probably very hard for Virtuoso in this case. Using LIMIT 1 and maybe a filter !isLiteral(?something) may give you better performance. You already found out that the implementation is in the DBpedia subversion in the /relfinder directory. One reason why the queries are more efficient than the one above is that we use a precomuted table storing all triples \"in both directions\", i.e. for each triple S-P-O we also store O-P-S. This way we do not need the union you mentioned above and MySQL can better optimise the joins on the statements table. We obviously also filter all cases where S or O are literals and remove some properties we do not want when computing the connection between two objects. Getting all nodes with smaller distance from the root node and connected to a specific node is computationally not a problem. What is likely to be a problem is the number of nodes you have in those two trees, which may grow very fast. Another problem is that you won't have a guarantee to get the distance this way: Say you have a complete graph with three vertices a, b, root. If you ask for the distance between a and b using your method it would return 2 instead of one. (There are also other counterexamples.) The reason is that going towards the randomly chosen root node of a component does not necessarily mean that you are walking on a shortest path. Kind regards, Jens uIl giorno 20/mar/09, alle ore 08:44, Jens Lehmann ha scritto: That's fantastic! thank you really much, i really appreciate your help! Ok i'll try it later today so that i can leave the computer calculate and enjoying himself :) Yes that is clear from the paper and is a really clever idea. In my work i have to calculate a distance factor within a [01] range. In the article there's a graphic that show the distace distribution, but it is clearly told that it has to interpreted cautiously because it is taken from a randomly a randomly selected node. There's also reference to future work for a comprehensive analysis. Have you already published the results of this analysis? They would be etremely useful for my work and i will surely cite them in the bibliography. If no, can you suggest me a maximum distance indicator so i can get values in [01] by dividing the obtained distance? If it happens that ou find sme literature about it, please tell me :) Yes that's the same reason why i tried to find a virtuoso query to do it (in the previous mail) so it would have worked on local virtuoso servers with dbpedia dump but also on the main dbpedia sparql endpoint. As i told i will try those queries to find the maximum distance that makes them resolve in an acceptable time, and then decide what to implement. Thankyou Jens, you probably don't know how helpful have you been. I'm really grateful. Once i finish m work i will release it under GPL so i hope that it would also be interesting for you as your work is beeing useful to me. Piero uIl giorno 20/mar/09, alle ore 09:08, Jens Lehmann ha scritto: As the objective is to find if there's at least one way of such a number of steps, the idea of limiting to 1 is perfect! Now i will try it and find to witch distance it has still acceptable performances. Yes, i wrote this email when i had a first approach to the code, now i spant some hours figuring out how it worked, so now it's really clearer, thanks for your explaination. What you say is surely correct, i wouldn't find if the nodes have distance 1 with the 2 trees i have described, but maybe working on the main idea there could find a working solution (maybe adding also the nodes at the same distance of the root? bythe way as i am short of timei think i'lluse what is granted to work) Thankyou for the clear answers and the help, Piero"
"Query regarding dbpedia dataset"	"uHi I aim at using Dbpedia for benchmarking. Can you please guide me as to whether dbpedia dataset contains reified facts. If it does support reification, then can you please give a small example illustrating it? I know that Dbpedia dataset contains information about named graphs with each triple. Can you please guide me regarding reification. I'll be highly grateful to you regarding the same. Also are there any freely available datasets in which triples are described using reification Hi I aim at using Dbpedia for benchmarking. Can you please guide me as to whether dbpedia dataset contains reified facts. If it does support reification, then can you please give a small example illustrating it? I know that Dbpedia dataset contains information about named graphs with each triple. Can you please guide me regarding reification. I&#39;ll be highly grateful to you regarding the same. Also are there any freely available datasets in which triples are described using reification"
"recipie ingreients"	"uWhy doesn't, for example, list the ingredients shown in the infobox at ? The latter uses an hRecipe microformat, BTW."
"Query logs of DBpedia"	"uHello list, I'm a phd student and I'm currently working on my project in the field of IR. For the evaluation I'm using the DBpedia dataset and therefore I'd like to use a set of real-world queries issued to DBpedia to see how the system behaves. Is such a set publicly available? Would it be possible to have one? Best regards, Claudio uHi,   I am also interested to these kind of queries on DBpedia.   Best regards Ibrahim uHello, Am 28.01.2011 18:28, schrieb Claudio Martella: An anonymous log excerpt for DBpedia 3.5.1 is available here: ftp://download.openlinksw.com/support/dbpedia/ Kind regards, Jens"
"No german/i18n redirect files"	"uHi, Does anyone have an idea, why there are \"no\" i18n redirect files (I only checked de/ca/fr) for 3.7? I also found this mail which didn't get a reply: I need this file to create the surface forms/index for Dbpedia Spotlight. Since I'm not familiar at all with the extraction framework, is there any way to create those on my own? Or even better, to fix the extraction configuration (if it's not on purpose)? Cheers, Daniel uHi list, Thanks for the reply and sorry for this delayed message. Maybe I shouldn't have said \"is there any way to create those on my own?\" since my resources are very limited at the moment. :) And since my Scala skills are not really measurable, all I could do is poking around in the dark. I would consider this a bug and I've created a bug report @ Maybe, somebody who created the german redirects could share them? (Until this is fixed) This would be really awesome! Have a nice weekend! Cheers, Daniel uHi Daniel, This is not a bug. The 3.7 release does not include redirects for non-English wikipedias. You can easily create them yourself by adding 'org.dbpedia.extraction.mappings.RedirectExtractor' under the 'extractor.de' (in the dump configuration file) and run the extraction framework for German. Cheers, Dimitris On Sat, Oct 15, 2011 at 7:05 PM, Gerber Daniel < > wrote: uHi Dimitris, I understand that your resources are limited, and you have to draw a line up to which you can provide the files people would like to download from dbpedia.org. However, when I try to use Linked Open Data from multiple datasets, for me it is a big hurdle to install a (basicly unknown) framework for just one dataset in order to twitch the extraction of source data a little bit. It just doesn't scale up for many datasets, with (too) limited resources on my side. Plus, if I would have extracted the data myself, this wouldn't have helped Daniel and possibly others who looked up these files on the download page. So if there is a chance to automate the process for one of the next releases, it would be really great. Nevertheless, thanks a lot for all the work you put into providing all this great data! Cheers, Joachim uHi Daniel, I'm sorry for this rather late reply but I was in vacation for 2 weeks. Limited resources are one of the reasons country-specific DBpedia versions have been made available. You'll find the version for the German language dataset under find the German redirects file: that might interest you under: Kind Regards, Alexandru Todor On 10/17/2011 12:44 PM, Neubert Joachim wrote: uHi Alexandru, Great to learn - thanks a lot! Joachim"
